ONS Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Dispersed/Arrival Date
ONS.1,58,16,1,0,0,0,225333,0,1943-03-15,1943-04-04
ONS.2,60,19,1,1,0,1,179459,3835,1943-03-28,1943-04-19
ONS.3,37,12,1,2,0,0,131404,10403,1943-04-05,1943-04-28
ONS.4,65,21,2,0,0,0,205286,0,1943-04-13,1943-05-05
ONS.5,68,20,4,13,0,2,218522,61958,1943-04-21,1943-05-12
ONS.6,52,20,0,0,0,0,174402,0,1943-04-29,1943-05-17
ONS.7,70,18,0,1,0,0,248104,5196,1943-05-07,1943-05-25
ONS.8,74,19,0,0,0,0,239402,0,1943-05-17,1943-06-01
ONS.9,47,18,0,0,0,0,156244,0,1943-05-28,1943-06-09
ONS.10,73,18,0,0,0,0,262302,0,1943-06-08,1943-06-27
ONS.11,49,13,1,0,0,0,182998,0,1943-06-19,1943-07-05
ONS.12,92,14,1,0,0,0,424102,0,1943-07-03,1943-07-18
ONS.13,60,15,0,0,0,0,252122,0,1943-07-14,1943-07-29
ONS.14,65,12,0,0,0,0,252130,0,1943-07-26,1943-08-09
ONS.15,61,17,0,0,0,0,235568,0,1943-08-06,1943-08-21
ONS.16,42,14,0,0,0,0,138730,0,1943-08-19,1943-09-01
ONS.17,40,12,0,0,0,0,166712,0,1943-08-31,1943-09-16
ONS.18,46,19,0,1,0,0,149108,6198,1943-09-12,1943-09-29
ONS.19,70,18,1,0,0,0,293890,0,1943-09-26,1943-10-14
ONS.20,75,21,0,1,0,0,262209,6625,1943-10-09,1943-10-26
ONS.21,55,21,1,0,0,0,207529,0,1943-10-22,1943-11-05
ONS.22,45,15,0,0,0,0,169445,0,1943-11-04,1943-11-22
ONS.23,37,12,0,0,0,0,142072,0,1943-11-17,1943-12-02
ONS.24,45,11,1,0,0,0,169276,0,1943-11-30,1943-12-18
ONS.25,47,14,2,0,0,0,181949,0,1943-12-15,1944-01-03
ONS.26,48,16,1,0,0,0,199456,0,1943-12-29,1944-01-18
ONS.27,59,19,0,0,0,0,222950,0,1944-01-13,1944-01-31
ONS.28,47,15,1,0,0,0,181838,0,1944-01-28,1944-02-15
ONS.29,69,23,0,0,0,0,253560,0,1944-02-12,1944-02-29
ONS.30,44,13,0,0,0,0,165584,0,1944-02-27,1944-03-13
ONS.31,35,15,2,0,0,0,108252,0,1944-03-13,1944-03-30
ONS.32,62,12,2,0,0,0,275064,0,1944-03-28,1944-04-18
ONS.33,77,24,0,2,2,0,284304,2740,1944-09-29,1944-10-14
ONS.34,81,24,0,0,0,0,302802,0,1944-10-14,1944-11-01
ONS.35,77,24,0,0,0,0,293554,0,1944-10-29,1944-11-15
ONS.36,78,20,1,0,0,0,304581,0,1944-11-13,1944-12-03
ONS.37,60,19,0,0,0,0,230930,0,1944-11-28,1944-12-21
ONS.38,41,12,1,0,0,0,162681,0,1944-12-13,1945-01-02
ONS.39,55,16,0,0,0,0,202239,0,1944-12-28,1945-01-13
ONS.40,50,17,1,0,0,0,185174,0,1945-01-12,1945-01-30
ONS.41,57,21,1,0,0,0,199455,0,1945-01-29,1945-02-20
ONS.42,48,12,0,0,0,0,185140,0,1945-02-13,1945-03-05
ONS.43,40,15,1,0,0,0,146767,0,1945-02-27,1945-03-16
ONS.44,34,12,1,0,0,0,120652,0,1945-03-12,1945-03-31
ONS.45,46,18,1,0,0,0,143168,0,1945-03-22,1945-04-11
ONS.46,44,14,0,0,0,0,174062,0,1945-04-02,1945-04-20
ONS.47,28,9,1,0,0,0,97885,0,1945-04-11,1945-04-30
ONS.48,41,18,0,0,0,0,123708,0,1945-04-21,1945-05-04
ONS.49,73,15,1,0,0,0,298029,0,1945-05-02,1945-05-18
ONS.50,48,13,0,0,0,0,97869,0,1945-05-11,1945-05-29
ONS.51,30,9,0,0,0,0,103961,0,1945-05-21,1945-06-04
